|dates|Manistee_Michigan_UnitedStates.BLS_EmployedPopulation.data|Manistee_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Manistee_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Manistee_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Manistee_Michigan_UnitedStates.BLS_UnemploymentRate.data|Manistee_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Manistee_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Manistee_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-02|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-03|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-04|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-05|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-06|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-07|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-08|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-09|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-10|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-11|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-12|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-13|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-14|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-15|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-16|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-17|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-18|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-19|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-20|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-21|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
0|2020-01-22|9426.5|0|656.5|0|6.510959039968263|0|10083.0|0
