|dates|Costilla_Colorado_UnitedStates.BLS_EmployedPopulation.data|Costilla_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Costilla_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Costilla_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Costilla_Colorado_UnitedStates.BLS_UnemploymentRate.data|Costilla_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Costilla_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Costilla_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-02|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-03|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-04|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-05|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-06|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-07|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-08|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-09|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-10|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-11|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-12|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-13|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-14|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-15|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-16|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-17|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-18|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-19|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-20|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-21|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-22|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-23|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-24|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-25|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-26|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-27|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-28|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-29|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-30|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-01-31|1757.5|0|77.0|0|4.1973289724720635|0|1834.5|0
0|2020-02-01|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-02|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-03|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-04|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-05|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-06|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-07|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-08|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-09|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-10|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-11|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-12|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-13|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-14|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-15|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-16|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-17|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-18|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-19|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-20|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-21|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-22|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-23|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-24|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-25|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-26|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-27|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-28|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-02-29|1778.0|0|78.0|0|4.202586206896552|0|1856.0|0
0|2020-03-01|1633.5|0|118.0|0|6.737082500713674|0|1751.5|0
0|2020-03-02|1633.5|0|118.0|0|6.737082500713674|0|1751.5|0
0|2020-03-03|1633.5|0|118.0|0|6.737082500713674|0|1751.5|0
0|2020-03-04|1633.5|0|118.0|0|6.737082500713674|0|1751.5|0
0|2020-03-05|1633.5|0|118.0|0|6.737082500713674|0|1751.5|0
0|2020-03-06|1633.5|0|118.0|0|6.737082500713674|0|1751.5|0
