|dates|Washington_Illinois_UnitedStates.BLS_EmployedPopulation.data|Washington_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Washington_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Washington_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Illinois_UnitedStates.BLS_UnemploymentRate.data|Washington_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Washington_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Washington_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-02|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-03|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-04|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-05|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-06|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-07|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-08|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-09|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-10|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-11|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-12|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-13|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-14|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-15|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-16|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-17|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-18|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-19|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-20|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-21|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
0|2020-01-22|9431.5|0|226.5|0|2.34520604680058|0|9658.0|0
