|dates|Lancaster_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Lancaster_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Lancaster_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Lancaster_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Lancaster_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Lancaster_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Lancaster_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Lancaster_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-02|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-03|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-04|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-05|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-06|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-07|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-08|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-09|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-10|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-11|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-12|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-13|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-14|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-15|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-16|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-17|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-18|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-19|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-20|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-21|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-22|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-23|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-24|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-25|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-26|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-27|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-28|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-29|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-30|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-01-31|40443.5|0|1495.0|0|3.564743612670935|0|41938.5|0
0|2020-02-01|40618.0|0|1519.0|0|3.6049078007451882|0|42137.0|0
