|dates|Marlboro_SouthCarolina_UnitedStates.AveragePrecipitationTotal.data|Marlboro_SouthCarolina_UnitedStates.AveragePrecipitationTotal.missing|Marlboro_SouthCarolina_UnitedStates.AveragePrecipitation.data|Marlboro_SouthCarolina_UnitedStates.AveragePrecipitation.missing|Marlboro_SouthCarolina_UnitedStates.AverageWindDirection.data|Marlboro_SouthCarolina_UnitedStates.AverageWindDirection.missing|Marlboro_SouthCarolina_UnitedStates.AverageWindSpeed.data|Marlboro_SouthCarolina_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|153.02083333333334|0|3.5833333333333335|0
0|2020-01-02|0.0|0|0.0007291666666666667|0|93.48958333333333|0|2.3854166666666665|0
0|2020-01-03|0.0|0|0.011145833333333336|0|117.39583333333333|0|4.651041666666667|0
0|2020-01-04|0.0|0|0.009062500000000003|0|231.19791666666666|0|10.8125|0
0|2020-01-05|0.0|0|0.0|0|241.35416666666666|0|6.958333333333333|0
0|2020-01-06|0.0|0|0.0|0|72.86458333333333|0|1.265625|0
0|2020-01-07|0.0|0|0.0009375|0|106.14583333333333|0|4.25|0
0|2020-01-08|0.0|0|0.0|0|92.39583333333333|0|3.1979166666666665|0
0|2020-01-09|0.0|0|0.0|0|51.979166666666664|0|5.208333333333333|0
0|2020-01-10|0.0|0|0.0|0|46.666666666666664|0|2.1666666666666665|0
0|2020-01-11|0.0|0|0.0025520833333333333|0|151.14583333333334|0|9.098958333333334|0
0|2020-01-12|0.0|0|0.019895833333333342|0|156.71875|0|5.708333333333333|0
0|2020-01-13|0.0|0|0.04749999999999998|0|110.72916666666667|0|2.90625|0
0|2020-01-14|0.0|0|0.00020833333333333335|0|155.0|0|4.385416666666667|0
0|2020-01-15|0.0|0|0.0|0|36.145833333333336|0|0.671875|0
0|2020-01-16|0.0|0|0.0|0|226.45833333333334|0|7.53125|0
0|2020-01-17|0.0|0|0.0|0|136.25|0|7.114583333333333|0
0|2020-01-18|0.0|0|0.0|0|114.47916666666667|0|5.354166666666667|0
0|2020-01-19|0.0|0|0.0018750000000000006|0|277.2916666666667|0|8.255208333333334|0
0|2020-01-20|0.0|0|0.0|0|244.375|0|6.260416666666667|0
0|2020-01-21|0.0|0|0.0|0|245.52083333333334|0|9.145833333333334|0
0|2020-01-22|0.0|0|0.0|0|120.9375|0|7.4375|0
0|2020-01-23|0.0|0|0.0|0|141.5625|0|4.796875|0
0|2020-01-24|0.0|0|0.009479166666666669|0|99.79166666666667|0|7.802083333333333|0
0|2020-01-25|0.0|0|0.0030208333333333337|0|227.1875|0|5.3125|0
0|2020-01-26|0.0|0|0.0|0|127.29166666666667|0|2.8541666666666665|0
0|2020-01-27|0.0|0|0.0027083333333333334|0|131.04166666666666|0|3.0052083333333335|0
0|2020-01-28|0.0|0|0.0|0|176.66666666666666|0|3.3020833333333335|0
0|2020-01-29|0.0|0|0.0|0|43.541666666666664|0|4.0|0
0|2020-01-30|0.0|0|0.0003125|0|43.229166666666664|0|5.635416666666667|0
0|2020-01-31|0.0|0|0.02343749999999999|0|103.95833333333333|0|6.135416666666667|0
0|2020-02-01|0.0|0|0.00010416666666666667|0|244.79166666666666|0|4.708333333333333|0
0|2020-02-02|0.0|0|0.0|0|195.83333333333334|0|7.0625|0
0|2020-02-03|0.0|0|0.0|0|160.10416666666666|0|4.958333333333333|0
0|2020-02-04|0.0|0|0.0|0|201.45833333333334|0|7.239583333333333|0
0|2020-02-05|0.0|0|0.0021875000000000006|0|174.89583333333334|0|6.020833333333333|0
0|2020-02-06|0.0|0|0.059166666666666694|0|161.5625|0|7.9375|0
0|2020-02-07|0.0|0|0.006979166666666667|0|226.14583333333334|0|16.822916666666668|0
0|2020-02-08|0.0|0|0.0|0|87.8125|0|1.7291666666666667|0
0|2020-02-09|0.0|0|0.0|0|45.520833333333336|0|1.0520833333333333|0
0|2020-02-10|0.0|0|0.0|0|90.10416666666667|0|2.5208333333333335|0
0|2020-02-11|0.0|0|0.0|0|200.46875|0|9.90625|0
0|2020-02-12|0.0|0|0.0|0|119.94791666666667|0|6.895833333333333|0
0|2020-02-13|0.0|0|0.002916666666666667|0|221.61458333333334|0|9.463541666666666|0
0|2020-02-14|0.0|0|0.0|0|219.63541666666666|0|7.875|0
0|2020-02-15|0.0|0|0.0|0|54.270833333333336|0|5.666666666666667|0
0|2020-02-16|0.0|0|0.005000000000000001|0|36.666666666666664|0|0.6875|0
0|2020-02-17|0.0|0|0.0007291666666666667|0|110.9375|0|3.6666666666666665|0
0|2020-02-18|0.0|0|0.007604166666666666|0|41.458333333333336|0|1.125|0
0|2020-02-19|0.0|0|0.005312500000000001|0|72.13541666666667|0|5.864583333333333|0
0|2020-02-20|0.0|0|0.014687500000000006|0|83.75|0|8.322916666666666|0
0|2020-02-21|0.0|0|0.0|0|158.33333333333334|0|9.760416666666666|0
0|2020-02-22|0.0|0|0.0|0|25.833333333333332|0|0.4583333333333333|0
