|dates|NewHaven_Connecticut_UnitedStates.BLS_EmployedPopulation.data|NewHaven_Connecticut_UnitedStates.BLS_EmployedPopulation.missing|NewHaven_Connecticut_UnitedStates.BLS_UnemployedPopulation.data|NewHaven_Connecticut_UnitedStates.BLS_UnemployedPopulation.missing|NewHaven_Connecticut_UnitedStates.BLS_UnemploymentRate.data|NewHaven_Connecticut_UnitedStates.BLS_UnemploymentRate.missing|NewHaven_Connecticut_UnitedStates.BLS_LaborForcePopulation.data|NewHaven_Connecticut_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-02|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-03|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-04|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-05|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-06|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-07|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-08|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-09|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-10|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-11|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-12|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-13|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-14|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-15|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-16|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-17|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-18|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-19|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-20|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-21|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-22|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-23|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
0|2020-01-24|442622.0|0|20762.5|0|4.480620305599346|0|463384.5|0
