|dates|Collingsworth_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Collingsworth_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Collingsworth_Texas_UnitedStates.Male_Total_Population.data|Collingsworth_Texas_UnitedStates.Male_Total_Population.missing|Collingsworth_Texas_UnitedStates.Female_Total_Population.data|Collingsworth_Texas_UnitedStates.Female_Total_Population.missing|Collingsworth_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Collingsworth_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-02|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-03|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-04|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-05|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-06|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-07|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-08|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-09|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-10|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-11|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-12|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-13|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-14|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-15|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-16|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-17|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-18|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-19|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-20|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-21|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-22|559.0|0|1449.0|0|1513.0|0|779.0|0
0|2020-01-23|559.0|0|1449.0|0|1513.0|0|779.0|0
