|dates|Spink_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Spink_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Spink_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Spink_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Spink_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Spink_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Spink_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Spink_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-02|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-03|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-04|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-05|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-06|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-07|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-08|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-09|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-10|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-11|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-12|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-13|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-14|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-15|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-16|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-17|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-18|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-19|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-20|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-21|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-22|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-23|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-24|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-25|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-26|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-27|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
0|2020-01-28|2954.5|0|132.5|0|4.292193067703272|0|3087.0|0
