|dates|Casey_Kentucky_UnitedStates.AveragePrecipitationTotal.data|Casey_Kentucky_UnitedStates.AveragePrecipitationTotal.missing|Casey_Kentucky_UnitedStates.AveragePrecipitation.data|Casey_Kentucky_UnitedStates.AveragePrecipitation.missing|Casey_Kentucky_UnitedStates.AverageWindDirection.data|Casey_Kentucky_UnitedStates.AverageWindDirection.missing|Casey_Kentucky_UnitedStates.AverageWindSpeed.data|Casey_Kentucky_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|205.20833333333334|0|5.78125|0
0|2020-01-02|0.0|0|0.0|0|141.40625|0|5.901041666666667|0
0|2020-01-03|0.0|0|0.0|0|126.77083333333333|0|3.625|0
0|2020-01-04|0.0|0|0.0|0|245.3125|0|8.927083333333334|0
0|2020-01-05|0.0|0|0.0|0|210.83333333333334|0|8.291666666666666|0
0|2020-01-06|0.0|0|0.0|0|38.541666666666664|0|1.25|0
0|2020-01-07|0.0|0|0.0|0|153.125|0|6.375|0
0|2020-01-08|0.0|0|0.0|0|193.125|0|6.020833333333333|0
0|2020-01-09|0.0|0|0.0|0|140.625|0|7.4375|0
0|2020-01-10|0.0|0|0.0|0|188.33333333333334|0|12.947916666666666|0
0|2020-01-11|0.0|0|0.0|0|198.75|0|17.635416666666668|0
0|2020-01-12|0.0|0|0.0|0|101.35416666666667|0|3.2291666666666665|0
0|2020-01-13|0.0|0|0.0|0|50.9375|0|1.2604166666666667|0
0|2020-01-14|0.0|0|0.0|0|125.83333333333333|0|2.5833333333333335|0
0|2020-01-15|0.0|0|0.0|0|144.27083333333334|0|5.041666666666667|0
0|2020-01-16|0.0|0|0.0|0|289.21875|0|7.796875|0
0|2020-01-17|0.0|0|0.0|0|43.854166666666664|0|4.385416666666667|0
0|2020-01-18|0.0|0|0.0|0|222.91666666666666|0|15.291666666666666|0
0|2020-01-19|0.0|0|0.0|0|296.9791666666667|0|11.40625|0
0|2020-01-20|0.0|0|0.0|0|175.83333333333334|0|4.197916666666667|0
0|2020-01-21|0.0|0|0.0|0|27.5|0|3.15625|0
0|2020-01-22|0.0|0|0.0|0|17.291666666666668|0|0.3958333333333333|0
0|2020-01-23|0.0|0|0.0|0|53.541666666666664|0|1.6458333333333333|0
0|2020-01-24|0.0|0|0.0|0|143.85416666666666|0|4.364583333333333|0
0|2020-01-25|0.0|0|0.0|0|244.0625|0|8.541666666666666|0
0|2020-01-26|0.0|0|0.0|0|157.8125|0|5.041666666666667|0
0|2020-01-27|0.0|0|0.0|0|217.91666666666666|0|4.5625|0
0|2020-01-28|0.0|0|0.0|0|17.5|0|0.19791666666666666|0
0|2020-01-29|0.0|0|0.0|0|11.770833333333334|0|0.9270833333333334|0
0|2020-01-30|0.0|0|0.0|0|13.75|0|0.71875|0
0|2020-01-31|0.0|0|0.0|0|62.708333333333336|0|1.1354166666666667|0
0|2020-02-01|0.0|0|0.0|0|132.70833333333334|0|3.6666666666666665|0
0|2020-02-02|0.0|0|0.0|0|190.9375|0|9.083333333333334|0
0|2020-02-03|0.0|0|0.0|0|190.3125|0|8.895833333333334|0
0|2020-02-04|0.0|0|0.0|0|188.80208333333334|0|7.34375|0
0|2020-02-05|0.0|0|0.0|0|68.4375|0|6.927083333333333|0
