|dates|BoxButte_Nebraska_UnitedStates.BLS_EmployedPopulation.data|BoxButte_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|BoxButte_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|BoxButte_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|BoxButte_Nebraska_UnitedStates.BLS_UnemploymentRate.data|BoxButte_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|BoxButte_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|BoxButte_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-02|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-03|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-04|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-05|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-06|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-07|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-08|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-09|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-10|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-11|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-12|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-13|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-14|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-15|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-16|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-17|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-18|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-19|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-20|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-21|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-22|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-23|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-24|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-25|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-26|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-27|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-28|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-29|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-30|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-01-31|5150.0|0|175.0|0|3.2863849765258215|0|5325.0|0
0|2020-02-01|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-02|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-03|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-04|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-05|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-06|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-07|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-08|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-09|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-10|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-11|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-12|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-13|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-14|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-15|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-16|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-17|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-18|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-19|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
0|2020-02-20|5200.5|0|165.5|0|3.084234066343645|0|5366.0|0
