|dates|Hampden_Massachusetts_UnitedStates.BLS_EmployedPopulation.data|Hampden_Massachusetts_UnitedStates.BLS_EmployedPopulation.missing|Hampden_Massachusetts_UnitedStates.BLS_UnemployedPopulation.data|Hampden_Massachusetts_UnitedStates.BLS_UnemployedPopulation.missing|Hampden_Massachusetts_UnitedStates.BLS_UnemploymentRate.data|Hampden_Massachusetts_UnitedStates.BLS_UnemploymentRate.missing|Hampden_Massachusetts_UnitedStates.BLS_LaborForcePopulation.data|Hampden_Massachusetts_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-02|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-03|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-04|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-05|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-06|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-07|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-08|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-09|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-10|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-11|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-12|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-13|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-14|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-15|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-16|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-17|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-18|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-19|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-20|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-21|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-22|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-23|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-24|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-25|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-26|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-27|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-28|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-29|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-30|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-01-31|216944.5|0|10353.0|0|4.554823524235858|0|227297.5|0
0|2020-02-01|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-02|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-03|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-04|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-05|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-06|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-07|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-08|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-09|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-10|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-11|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-12|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-13|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-14|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
0|2020-02-15|218986.0|0|9839.5|0|4.30000152954981|0|228825.5|0
