|dates|Ingham_Michigan_UnitedStates.AveragePrecipitationTotal.data|Ingham_Michigan_UnitedStates.AveragePrecipitationTotal.missing|Ingham_Michigan_UnitedStates.AveragePrecipitation.data|Ingham_Michigan_UnitedStates.AveragePrecipitation.missing|Ingham_Michigan_UnitedStates.AverageWindDirection.data|Ingham_Michigan_UnitedStates.AverageWindDirection.missing|Ingham_Michigan_UnitedStates.AverageWindSpeed.data|Ingham_Michigan_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|215.9375|0|6.484375|0
0|2020-01-02|0.0|0|0.0|0|194.60069444444443|0|6.246527777777778|0
0|2020-01-03|0.0|0|0.0|0|218.125|0|3.6197916666666665|0
0|2020-01-04|0.0|0|0.0|0|301.25|0|7.9375|0
0|2020-01-05|0.0|0|0.0|0|225.41666666666666|0|8.8125|0
0|2020-01-06|0.0|0|0.0|0|261.3541666666667|0|10.807291666666666|0
0|2020-01-07|0.0|0|0.0|0|194.375|0|6.244791666666667|0
0|2020-01-08|0.0|0|0.0|0|232.23958333333334|0|9.385416666666666|0
0|2020-01-09|0.0|0|0.0|0|154.16666666666666|0|11.791666666666666|0
0|2020-01-10|0.0|0|0.0|0|153.02083333333334|0|6.6875|0
0|2020-01-11|0.0|0|0.0|0|78.90625|0|12.8125|0
0|2020-01-12|0.0|0|0.0|0|159.375|0|4.880208333333333|0
0|2020-01-13|0.0|0|0.0|0|131.30208333333334|0|3.9270833333333335|0
0|2020-01-14|0.0|0|0.0|0|184.375|0|6.588541666666667|0
0|2020-01-15|0.0|0|0.0|0|145.05208333333334|0|4.75|0
0|2020-01-16|0.0|0|0.0|0|296.9270833333333|0|13.78125|0
0|2020-01-17|0.0|0|0.0|0|146.97916666666666|0|7.520833333333333|0
0|2020-01-18|0.0|0|0.0|0|191.92708333333334|0|13.359375|0
0|2020-01-19|0.0|0|0.0|0|225.78125|0|8.375|0
0|2020-01-20|0.0|0|0.0|0|201.19791666666666|0|2.8177083333333335|0
0|2020-01-21|0.0|0|0.0|0|164.79166666666666|0|3.3697916666666665|0
0|2020-01-22|0.0|0|0.0|0|139.27083333333334|0|3.8125|0
0|2020-01-23|0.0|0|0.0|0|142.23958333333334|0|5.817708333333333|0
0|2020-01-24|0.0|0|0.0|0|103.59375|0|6.536458333333333|0
0|2020-01-25|0.0|0|0.0|0|139.89583333333334|0|2.7760416666666665|0
