|dates|Slope_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Slope_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Slope_NorthDakota_UnitedStates.Male_Total_Population.data|Slope_NorthDakota_UnitedStates.Male_Total_Population.missing|Slope_NorthDakota_UnitedStates.Female_Total_Population.data|Slope_NorthDakota_UnitedStates.Female_Total_Population.missing|Slope_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Slope_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-02|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-03|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-04|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-05|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-06|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-07|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-08|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-09|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-10|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-11|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-12|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-13|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-14|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-15|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-16|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-17|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-18|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-19|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-20|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-21|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-22|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-23|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-24|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-25|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-26|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-27|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-28|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-29|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-30|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-01-31|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-01|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-02|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-03|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-04|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-05|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-06|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-07|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-08|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-09|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-10|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-11|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-12|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-13|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-14|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-15|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-16|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-17|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-18|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-19|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-20|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-21|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-22|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-23|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-24|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-25|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-26|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-27|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-28|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-02-29|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-01|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-02|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-03|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-04|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-05|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-06|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-07|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-08|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-09|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-10|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-11|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-12|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-13|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-14|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-15|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-16|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-17|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-18|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-19|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-20|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-21|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-22|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-23|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-24|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-25|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-26|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-27|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-28|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-29|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-30|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-03-31|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-01|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-02|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-03|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-04|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-05|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-06|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-07|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-08|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-09|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-10|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-11|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-12|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-13|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-14|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-15|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-16|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-17|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-18|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-19|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-20|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-21|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-22|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-23|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-24|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-25|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-26|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-27|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-28|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-29|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-04-30|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-01|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-02|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-03|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-04|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-05|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-06|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-07|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-08|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-09|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-10|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-11|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-12|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-13|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-14|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-15|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-16|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-17|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-18|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-19|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-20|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-21|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-22|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-23|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-24|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-25|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-26|175.0|0|399.0|0|364.0|0|155.0|0
0|2020-05-27|175.0|0|399.0|0|364.0|0|155.0|0
