|dates|Linn_Kansas_UnitedStates.BLS_EmployedPopulation.data|Linn_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Linn_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Linn_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Linn_Kansas_UnitedStates.BLS_UnemploymentRate.data|Linn_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Linn_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Linn_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-02|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-03|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-04|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-05|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-06|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-07|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-08|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-09|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-10|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-11|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-12|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-13|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-14|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-15|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-16|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-17|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-18|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-19|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-20|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-21|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-22|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-23|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-24|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-25|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-26|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-27|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-28|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-29|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-30|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-01-31|4168.0|0|294.0|0|6.5889735544598835|0|4462.0|0
0|2020-02-01|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-02|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-03|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-04|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-05|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-06|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-07|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-08|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-09|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-10|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-11|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-12|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-13|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-14|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-15|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-16|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-17|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-18|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-19|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-20|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-21|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-22|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-23|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-24|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-25|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-26|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-27|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-28|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-02-29|4187.5|0|315.0|0|6.99611327040533|0|4502.5|0
0|2020-03-01|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-02|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-03|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-04|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-05|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-06|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-07|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-08|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-09|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-10|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-11|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-12|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-13|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-14|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-15|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-16|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-17|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-18|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-19|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-20|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-21|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-22|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
0|2020-03-23|4141.5|0|292.5|0|6.596752368064952|0|4434.0|0
