|dates|Wright_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Wright_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Wright_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Wright_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Wright_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Wright_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Wright_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Wright_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-02|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-03|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-04|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-05|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-06|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-07|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-08|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-09|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-10|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-11|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-12|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-13|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-14|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-15|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-16|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-17|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-18|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-19|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-20|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-21|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-22|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-23|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-24|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-25|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-26|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-27|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-28|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-29|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
0|2020-01-30|73936.0|0|3215.0|0|4.167152726471465|0|77151.0|0
