|dates|Hart_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Hart_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Hart_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Hart_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Hart_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Hart_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Hart_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Hart_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-02|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-03|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-04|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-05|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-06|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-07|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-08|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-09|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-10|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-11|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-12|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-13|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-14|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-15|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-16|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-17|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-18|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-19|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-20|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-21|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-22|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-23|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-24|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-25|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-26|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-27|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-28|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-29|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-30|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-01-31|7472.0|0|531.5|0|6.6408446304741675|0|8003.5|0
0|2020-02-01|7461.5|0|512.0|0|6.421270458393428|0|7973.5|0
0|2020-02-02|7461.5|0|512.0|0|6.421270458393428|0|7973.5|0
0|2020-02-03|7461.5|0|512.0|0|6.421270458393428|0|7973.5|0
