|dates|Buffalo_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Buffalo_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Buffalo_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Buffalo_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Buffalo_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Buffalo_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Buffalo_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Buffalo_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-02|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-03|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-04|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-05|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-06|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-07|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-08|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-09|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-10|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-11|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-12|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-13|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-14|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-15|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-16|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-17|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-18|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-19|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-20|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-21|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-22|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-23|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-24|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-25|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-26|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-27|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-28|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-29|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-30|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-01-31|614.0|0|39.0|0|5.972434915773354|0|653.0|0
0|2020-02-01|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-02|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-03|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-04|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-05|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-06|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-07|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-08|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-09|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-10|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-11|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-12|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-13|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-14|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-15|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-16|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-17|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-18|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-19|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-20|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-21|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-22|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-23|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-24|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-25|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-26|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-27|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-28|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-02-29|608.0|0|41.0|0|6.317411402157165|0|649.0|0
0|2020-03-01|601.5|0|32.0|0|5.05130228887135|0|633.5|0
0|2020-03-02|601.5|0|32.0|0|5.05130228887135|0|633.5|0
0|2020-03-03|601.5|0|32.0|0|5.05130228887135|0|633.5|0
0|2020-03-04|601.5|0|32.0|0|5.05130228887135|0|633.5|0
0|2020-03-05|601.5|0|32.0|0|5.05130228887135|0|633.5|0
0|2020-03-06|601.5|0|32.0|0|5.05130228887135|0|633.5|0
0|2020-03-07|601.5|0|32.0|0|5.05130228887135|0|633.5|0
0|2020-03-08|601.5|0|32.0|0|5.05130228887135|0|633.5|0
