|dates|DeBaca_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|DeBaca_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|DeBaca_NewMexico_UnitedStates.Male_Total_Population.data|DeBaca_NewMexico_UnitedStates.Male_Total_Population.missing|DeBaca_NewMexico_UnitedStates.Female_Total_Population.data|DeBaca_NewMexico_UnitedStates.Female_Total_Population.missing|DeBaca_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|DeBaca_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-02|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-03|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-04|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-05|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-06|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-07|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-08|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-09|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-10|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-11|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-12|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-13|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-14|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-15|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-16|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-17|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-18|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-19|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-20|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-21|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-22|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-23|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-24|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-25|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-26|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-27|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-28|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-29|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-30|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-01-31|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-01|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-02|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-03|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-04|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-05|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-06|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-07|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-08|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-09|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-10|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-11|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-12|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-13|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-14|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-15|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-16|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-17|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-18|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-19|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-20|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-21|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-22|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-23|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-24|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-25|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-26|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-27|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-28|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-02-29|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-01|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-02|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-03|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-04|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-05|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-06|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-07|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-08|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-09|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-10|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-11|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-12|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-13|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-14|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-15|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-16|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-17|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-18|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-19|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-20|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-21|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-22|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-23|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-24|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-25|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-26|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-27|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-28|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-29|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-30|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-03-31|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-01|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-02|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-03|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-04|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-05|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-06|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-07|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-08|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-09|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-10|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-11|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-12|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-13|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-14|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-15|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-16|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-17|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-18|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-19|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-20|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-21|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-22|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-23|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-24|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-25|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-26|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-27|497.0|0|882.0|0|899.0|0|399.0|0
0|2020-04-28|497.0|0|882.0|0|899.0|0|399.0|0
