|dates|Jewell_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jewell_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jewell_Kansas_UnitedStates.Male_Total_Population.data|Jewell_Kansas_UnitedStates.Male_Total_Population.missing|Jewell_Kansas_UnitedStates.Female_Total_Population.data|Jewell_Kansas_UnitedStates.Female_Total_Population.missing|Jewell_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Jewell_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-02|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-03|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-04|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-05|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-06|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-07|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-08|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-09|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-10|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-11|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-12|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-13|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-14|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-15|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-16|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-17|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-18|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-19|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-20|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-21|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-22|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-23|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-24|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-25|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-26|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-27|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-28|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-29|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-30|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-01-31|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-01|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-02|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-03|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-04|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-05|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-06|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-07|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-08|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-09|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-10|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-11|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-12|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-13|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-14|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-15|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-16|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-17|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-18|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-19|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-20|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-21|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-22|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-23|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-24|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-25|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-26|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-27|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-28|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-02-29|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-03-01|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-03-02|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-03-03|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-03-04|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-03-05|856.0|0|1452.0|0|1389.0|0|539.0|0
0|2020-03-06|856.0|0|1452.0|0|1389.0|0|539.0|0
