|dates|Boone_Missouri_UnitedStates.BLS_EmployedPopulation.data|Boone_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Boone_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Boone_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Boone_Missouri_UnitedStates.BLS_UnemploymentRate.data|Boone_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Boone_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Boone_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-02|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-03|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-04|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-05|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-06|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-07|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-08|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-09|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-10|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-11|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-12|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-13|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-14|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-15|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-16|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-17|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-18|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-19|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-20|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-21|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
0|2020-01-22|93936.5|0|2966.0|0|3.06080854467119|0|96902.5|0
