|dates|Mercer_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Mercer_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Mercer_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Mercer_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Mercer_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Mercer_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Mercer_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Mercer_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-02|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-03|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-04|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-05|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-06|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-07|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-08|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-09|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-10|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-11|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-12|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-13|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-14|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-15|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-16|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-17|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-18|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-19|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-20|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-21|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-22|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-23|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-24|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-25|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-26|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-27|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-28|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-29|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-30|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-01-31|3232.0|0|182.5|0|5.344852833504174|0|3414.5|0
0|2020-02-01|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-02|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-03|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-04|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-05|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-06|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-07|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-08|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-09|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-10|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-11|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-12|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-13|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-14|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-15|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-16|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-17|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-18|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-19|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-20|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-21|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
0|2020-02-22|3241.0|0|190.0|0|5.5377440979306325|0|3431.0|0
