|dates|Kalamazoo_Michigan_UnitedStates.BLS_EmployedPopulation.data|Kalamazoo_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Kalamazoo_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Kalamazoo_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Kalamazoo_Michigan_UnitedStates.BLS_UnemploymentRate.data|Kalamazoo_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Kalamazoo_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Kalamazoo_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-02|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-03|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-04|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-05|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-06|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-07|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-08|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-09|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-10|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-11|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-12|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-13|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-14|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-15|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-16|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-17|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-18|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-19|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-20|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-21|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-22|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-23|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-24|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-25|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-26|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-27|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-28|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-29|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-30|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-01-31|129649.0|0|4100.5|0|3.065805853479826|0|133749.5|0
0|2020-02-01|131804.0|0|3711.5|0|2.738801096553531|0|135515.5|0
0|2020-02-02|131804.0|0|3711.5|0|2.738801096553531|0|135515.5|0
0|2020-02-03|131804.0|0|3711.5|0|2.738801096553531|0|135515.5|0
0|2020-02-04|131804.0|0|3711.5|0|2.738801096553531|0|135515.5|0
0|2020-02-05|131804.0|0|3711.5|0|2.738801096553531|0|135515.5|0
0|2020-02-06|131804.0|0|3711.5|0|2.738801096553531|0|135515.5|0
0|2020-02-07|131804.0|0|3711.5|0|2.738801096553531|0|135515.5|0
0|2020-02-08|131804.0|0|3711.5|0|2.738801096553531|0|135515.5|0
0|2020-02-09|131804.0|0|3711.5|0|2.738801096553531|0|135515.5|0
0|2020-02-10|131804.0|0|3711.5|0|2.738801096553531|0|135515.5|0
