|dates|Radford_Virginia_UnitedStates.BLS_EmployedPopulation.data|Radford_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Radford_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Radford_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Radford_Virginia_UnitedStates.BLS_UnemploymentRate.data|Radford_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Radford_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Radford_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-02|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-03|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-04|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-05|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-06|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-07|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-08|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-09|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-10|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-11|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-12|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-13|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-14|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-15|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-16|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-17|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-18|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-19|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-20|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-21|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-22|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-23|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-24|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-25|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
0|2020-01-26|8210.0|0|312.5|0|3.6667644470519214|0|8522.5|0
