|dates|Williamson_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Williamson_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Williamson_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Williamson_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Williamson_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Williamson_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Williamson_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Williamson_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-02|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-03|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-04|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-05|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-06|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-07|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-08|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-09|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-10|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-11|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-12|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-13|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-14|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-15|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-16|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-17|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-18|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-19|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-20|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-21|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-22|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-23|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-24|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-25|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-26|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-27|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-28|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-29|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-30|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-01-31|127584.0|0|3287.5|0|2.512006051737773|0|130871.5|0
0|2020-02-01|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-02|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-03|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-04|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-05|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-06|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-07|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-08|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-09|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-10|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-11|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-12|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-13|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-14|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-15|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-16|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-17|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-18|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-19|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-20|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-21|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-22|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-23|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-24|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
0|2020-02-25|128245.0|0|3388.5|0|2.5741927396901243|0|131633.5|0
