|dates|Lawrence_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Lawrence_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Lawrence_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Lawrence_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Lawrence_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Lawrence_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Lawrence_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Lawrence_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-02|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-03|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-04|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-05|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-06|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-07|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-08|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-09|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-10|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-11|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-12|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-13|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-14|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-15|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-16|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-17|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-18|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-19|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-20|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-21|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-22|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-23|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-24|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-25|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-26|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
0|2020-01-27|12824.0|0|403.5|0|3.0504630504630503|0|13227.5|0
