|dates|Washington_Arkansas_UnitedStates.BLS_EmployedPopulation.data|Washington_Arkansas_UnitedStates.BLS_EmployedPopulation.missing|Washington_Arkansas_UnitedStates.BLS_UnemployedPopulation.data|Washington_Arkansas_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Arkansas_UnitedStates.BLS_UnemploymentRate.data|Washington_Arkansas_UnitedStates.BLS_UnemploymentRate.missing|Washington_Arkansas_UnitedStates.BLS_LaborForcePopulation.data|Washington_Arkansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-02|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-03|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-04|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-05|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-06|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-07|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-08|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-09|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-10|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-11|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-12|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-13|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-14|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-15|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-16|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-17|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-18|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-19|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-20|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-21|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-22|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-23|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-24|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-25|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-26|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-27|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-28|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-29|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-30|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-01-31|121620.0|0|3424.0|0|2.738236140878411|0|125044.0|0
0|2020-02-01|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-02|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-03|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-04|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-05|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-06|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-07|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-08|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-09|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-10|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-11|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-12|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
0|2020-02-13|123708.5|0|3246.5|0|2.5572053089677445|0|126955.0|0
