|dates|Sullivan_Missouri_UnitedStates.BLS_EmployedPopulation.data|Sullivan_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Sullivan_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Sullivan_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Sullivan_Missouri_UnitedStates.BLS_UnemploymentRate.data|Sullivan_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Sullivan_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Sullivan_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-02|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-03|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-04|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-05|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-06|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-07|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-08|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-09|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-10|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-11|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-12|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-13|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-14|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-15|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-16|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-17|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-18|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
0|2020-01-19|2651.0|0|132.5|0|4.7601940003592595|0|2783.5|0
