|dates|Cumberland_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Cumberland_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Cumberland_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Cumberland_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Cumberland_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Cumberland_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Cumberland_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Cumberland_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-02|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-03|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-04|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-05|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-06|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-07|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-08|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-09|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-10|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-11|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-12|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-13|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-14|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-15|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-16|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-17|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-18|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-19|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-20|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-21|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-22|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-23|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-24|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-25|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-26|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-27|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-28|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-29|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
0|2020-01-30|3141.0|0|158.0|0|4.789330100030313|0|3299.0|0
