|dates|Iredell_NorthCarolina_UnitedStates.AveragePrecipitationTotal.data|Iredell_NorthCarolina_UnitedStates.AveragePrecipitationTotal.missing|Iredell_NorthCarolina_UnitedStates.AveragePrecipitation.data|Iredell_NorthCarolina_UnitedStates.AveragePrecipitation.missing|Iredell_NorthCarolina_UnitedStates.AverageWindDirection.data|Iredell_NorthCarolina_UnitedStates.AverageWindDirection.missing|Iredell_NorthCarolina_UnitedStates.AverageWindSpeed.data|Iredell_NorthCarolina_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|151.77083333333334|0|3.3125|0
0|2020-01-02|0.0|0|0.011666666666666667|0|71.77083333333333|0|1.5208333333333333|0
0|2020-01-03|0.011041666666666667|0|0.02104166666666667|0|18.020833333333332|0|0.390625|0
0|2020-01-04|0.014791666666666667|0|0.0072916666666666685|0|205.3125|0|8.15625|0
0|2020-01-05|0.0031249999999999997|0|0.0|0|218.69791666666666|0|6.067708333333333|0
0|2020-01-06|0.0|0|0.0|0|138.02083333333334|0|2.8020833333333335|0
0|2020-01-07|0.0|0|0.0009375|0|159.47916666666666|0|5.15625|0
0|2020-01-08|0.000625|0|0.0|0|230.9375|0|6.635416666666667|0
0|2020-01-09|0.0|0|0.0|0|55.729166666666664|0|2.6041666666666665|0
0|2020-01-10|0.0|0|0.0|0|40.833333333333336|0|1.4166666666666667|0
0|2020-01-11|0.0022916666666666667|0|0.0234375|0|134.01041666666666|0|8.119791666666666|0
0|2020-01-12|0.013541666666666667|0|0.00010416666666666667|0|145.52083333333334|0|5.458333333333333|0
0|2020-01-13|0.00020833333333333335|0|0.008958333333333336|0|53.333333333333336|0|1.0|0
0|2020-01-14|0.014791666666666667|0|0.02135416666666666|0|142.39583333333334|0|3.71875|0
0|2020-01-15|0.0029687500000000005|0|0.0|0|71.66666666666667|0|1.6197916666666667|0
0|2020-01-16|0.0|0|0.0|0|265.1041666666667|0|7.46875|0
0|2020-01-17|0.0|0|0.0|0|63.4375|0|5.984375|0
0|2020-01-18|0.0|0|0.0018750000000000006|0|152.5|0|3.9479166666666665|0
0|2020-01-19|0.0010416666666666667|0|0.0|0|251.77083333333334|0|8.375|0
0|2020-01-20|0.0|0|0.0|0|140.52083333333334|0|6.791666666666667|0
