|dates|Sherman_Texas_UnitedStates.BLS_EmployedPopulation.data|Sherman_Texas_UnitedStates.BLS_EmployedPopulation.missing|Sherman_Texas_UnitedStates.BLS_UnemployedPopulation.data|Sherman_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Sherman_Texas_UnitedStates.BLS_UnemploymentRate.data|Sherman_Texas_UnitedStates.BLS_UnemploymentRate.missing|Sherman_Texas_UnitedStates.BLS_LaborForcePopulation.data|Sherman_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-02|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-03|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-04|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-05|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-06|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-07|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-08|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-09|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-10|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-11|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-12|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-13|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-14|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-15|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-16|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-17|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-18|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-19|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-20|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-21|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-22|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-23|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-24|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-25|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-26|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
0|2020-01-27|1322.0|0|36.0|0|2.6509572901325478|0|1358.0|0
