|dates|Delaware_Indiana_UnitedStates.BLS_EmployedPopulation.data|Delaware_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Delaware_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Delaware_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Delaware_Indiana_UnitedStates.BLS_UnemploymentRate.data|Delaware_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Delaware_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Delaware_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-02|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-03|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-04|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-05|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-06|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-07|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-08|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-09|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-10|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-11|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-12|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-13|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-14|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-15|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-16|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-17|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-18|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-19|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-20|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
0|2020-01-21|51945.5|0|2233.0|0|4.121561135874932|0|54178.5|0
