|dates|Saratoga_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Saratoga_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Saratoga_NewYork_UnitedStates.Male_Total_Population.data|Saratoga_NewYork_UnitedStates.Male_Total_Population.missing|Saratoga_NewYork_UnitedStates.Female_Total_Population.data|Saratoga_NewYork_UnitedStates.Female_Total_Population.missing|Saratoga_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Saratoga_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-02|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-03|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-04|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-05|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-06|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-07|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-08|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-09|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-10|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-11|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-12|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-13|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-14|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-15|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-16|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-17|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-18|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-19|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-20|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-21|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-22|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-23|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-24|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-25|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2020-01-26|41728.0|0|113980.0|0|116183.0|0|46168.0|0
