|dates|Trousdale_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Trousdale_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Trousdale_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Trousdale_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Trousdale_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Trousdale_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Trousdale_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Trousdale_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-02|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-03|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-04|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-05|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-06|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-07|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-08|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-09|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-10|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-11|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-12|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-13|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-14|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-15|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-16|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-17|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-18|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-19|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-20|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-21|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-22|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-23|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-24|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-25|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-26|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-27|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-28|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-29|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
0|2020-01-30|5360.0|0|185.5|0|3.345054548733207|0|5545.5|0
