|dates|Latimer_Oklahoma_UnitedStates.BLS_EmployedPopulation.data|Latimer_Oklahoma_UnitedStates.BLS_EmployedPopulation.missing|Latimer_Oklahoma_UnitedStates.BLS_UnemployedPopulation.data|Latimer_Oklahoma_UnitedStates.BLS_UnemployedPopulation.missing|Latimer_Oklahoma_UnitedStates.BLS_UnemploymentRate.data|Latimer_Oklahoma_UnitedStates.BLS_UnemploymentRate.missing|Latimer_Oklahoma_UnitedStates.BLS_LaborForcePopulation.data|Latimer_Oklahoma_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-02|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-03|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-04|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-05|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-06|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-07|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-08|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-09|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-10|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-11|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-12|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-13|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-14|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-15|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-16|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-17|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-18|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-19|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-20|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-21|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-22|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-23|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-24|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-25|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-26|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-27|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-28|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-29|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-30|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-01-31|2879.0|0|225.0|0|7.248711340206185|0|3104.0|0
0|2020-02-01|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-02|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-03|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-04|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-05|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-06|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-07|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-08|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-09|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-10|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-11|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-12|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-13|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-14|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-15|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-16|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-17|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-18|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-19|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-20|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-21|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-22|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-23|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
0|2020-02-24|2903.5|0|228.0|0|7.28085581989462|0|3131.5|0
