|dates|Kimble_Texas_UnitedStates.BLS_EmployedPopulation.data|Kimble_Texas_UnitedStates.BLS_EmployedPopulation.missing|Kimble_Texas_UnitedStates.BLS_UnemployedPopulation.data|Kimble_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Kimble_Texas_UnitedStates.BLS_UnemploymentRate.data|Kimble_Texas_UnitedStates.BLS_UnemploymentRate.missing|Kimble_Texas_UnitedStates.BLS_LaborForcePopulation.data|Kimble_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-02|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-03|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-04|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-05|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-06|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-07|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-08|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-09|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-10|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-11|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-12|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-13|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-14|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-15|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-16|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-17|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-18|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-19|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-20|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-21|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-22|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-23|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-24|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-25|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-26|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-27|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-28|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-29|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-30|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-01-31|1744.5|0|61.0|0|3.378565494322902|0|1805.5|0
0|2020-02-01|1764.0|0|60.0|0|3.289473684210526|0|1824.0|0
0|2020-02-02|1764.0|0|60.0|0|3.289473684210526|0|1824.0|0
0|2020-02-03|1764.0|0|60.0|0|3.289473684210526|0|1824.0|0
0|2020-02-04|1764.0|0|60.0|0|3.289473684210526|0|1824.0|0
0|2020-02-05|1764.0|0|60.0|0|3.289473684210526|0|1824.0|0
0|2020-02-06|1764.0|0|60.0|0|3.289473684210526|0|1824.0|0
0|2020-02-07|1764.0|0|60.0|0|3.289473684210526|0|1824.0|0
0|2020-02-08|1764.0|0|60.0|0|3.289473684210526|0|1824.0|0
0|2020-02-09|1764.0|0|60.0|0|3.289473684210526|0|1824.0|0
0|2020-02-10|1764.0|0|60.0|0|3.289473684210526|0|1824.0|0
