|dates|Uintah_Utah_UnitedStates.AveragePrecipitationTotal.data|Uintah_Utah_UnitedStates.AveragePrecipitationTotal.missing|Uintah_Utah_UnitedStates.AveragePrecipitation.data|Uintah_Utah_UnitedStates.AveragePrecipitation.missing|Uintah_Utah_UnitedStates.AverageWindDirection.data|Uintah_Utah_UnitedStates.AverageWindDirection.missing|Uintah_Utah_UnitedStates.AverageWindSpeed.data|Uintah_Utah_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|64.61805555555556|0|1.8645833333333333|0
0|2020-01-02|0.0|0|0.0|0|50.208333333333336|0|1.5|0
0|2020-01-03|0.0|0|0.0|0|62.708333333333336|0|1.5104166666666667|0
0|2020-01-04|0.0|0|0.0|0|73.75|0|1.2916666666666667|0
0|2020-01-05|0.0|0|0.0|0|85.27777777777777|0|2.0|0
0|2020-01-06|0.0|0|0.0|0|126.25|0|3.125|0
0|2020-01-07|0.0|0|0.0|0|70.41666666666667|0|1.5416666666666667|0
0|2020-01-08|0.0|0|0.0|0|118.75|0|2.625|0
0|2020-01-09|0.0|0|0.0|0|81.66666666666667|0|1.7916666666666667|0
0|2020-01-10|0.0|0|0.0|0|140.0|0|3.5208333333333335|0
0|2020-01-11|0.0|0|0.0|0|58.75|0|1.2708333333333333|0
0|2020-01-12|0.0|0|0.0008749999999999999|0|115.70833333333333|0|1.6416666666666668|0
0|2020-01-13|0.00025|0|0.00034722222222222224|0|74.35416666666667|0|1.6854166666666668|0
0|2020-01-14|0.0004166666666666667|0|0.0|0|77.91666666666667|0|1.75|0
0|2020-01-15|0.0|0|0.0|0|178.75|0|3.5833333333333335|0
0|2020-01-16|0.0|0|0.0|0|92.5|0|1.6666666666666667|0
0|2020-01-17|0.0|0|0.0008928571428571428|0|117.49503968253968|0|3.7852182539682544|0
0|2020-01-18|0.00125|0|0.0|0|150.0|0|2.4583333333333335|0
0|2020-01-19|0.0|0|0.0|0|167.08333333333334|0|2.4583333333333335|0
0|2020-01-20|0.0|0|0.0|0|93.75|0|2.4583333333333335|0
0|2020-01-21|0.0|0|0.00020833333333333335|0|40.02777777777778|0|0.8965277777777777|0
0|2020-01-22|0.00020833333333333335|0|0.0|0|47.916666666666664|0|1.4166666666666667|0
0|2020-01-23|0.0|0|0.0|0|138.7152777777778|0|2.7395833333333335|0
0|2020-01-24|0.0|0|0.0009375|0|104.8611111111111|0|2.3645833333333335|0
0|2020-01-25|0.00025|0|0.0|0|62.3125|0|1.8291666666666666|0
0|2020-01-26|0.0|0|0.0|0|50.76388888888888|0|1.3125000000000002|0
0|2020-01-27|0.0003125|0|0.0008333333333333334|0|93.95833333333333|0|2.0729166666666665|0
0|2020-01-28|0.0|0|0.0|0|85.20833333333333|0|2.1041666666666665|0
0|2020-01-29|0.0|0|0.0|0|76.80555555555556|0|1.972222222222222|0
0|2020-01-30|0.0|0|0.0|0|169.0079365079365|0|2.8273809523809526|0
0|2020-01-31|0.0|0|0.0|0|85.03373015873017|0|2.1646825396825395|0
0|2020-02-01|0.0|0|0.0|0|73.75|0|1.409722222222222|0
0|2020-02-02|0.0|0|0.0|0|63.88888888888889|0|1.6145833333333333|0
0|2020-02-03|0.0|0|0.0033333333333333335|0|78.7361111111111|0|8.95486111111111|0
0|2020-02-04|0.005416666666666667|0|0.0|0|107.5|0|7.125|0
0|2020-02-05|0.0|0|0.0|0|49.791666666666664|0|1.2708333333333333|0
0|2020-02-06|0.0|0|0.0|0|112.08333333333333|0|1.9583333333333333|0
0|2020-02-07|0.0|0|0.0|0|176.66666666666666|0|4.25|0
0|2020-02-08|0.0|0|0.0|0|149.58333333333334|0|5.375|0
0|2020-02-09|0.0|0|0.0|0|91.66666666666667|0|8.083333333333334|0
0|2020-02-10|0.0|0|0.0|0|116.66666666666667|0|3.875|0
0|2020-02-11|0.0|0|0.0|0|159.58333333333334|0|3.8541666666666665|0
0|2020-02-12|0.0|0|0.0|0|169.58333333333334|0|3.5416666666666665|0
0|2020-02-13|0.0|0|0.0|0|130.20833333333334|0|2.4791666666666665|0
0|2020-02-14|0.0|0|0.0|0|110.83333333333333|0|2.375|0
0|2020-02-15|0.0|0|0.0|0|189.16666666666666|0|3.125|0
0|2020-02-16|0.0|0|0.0|0|170.41666666666666|0|3.625|0
0|2020-02-17|0.0|0|0.0|0|104.58333333333333|0|5.9375|0
0|2020-02-18|0.0|0|0.0|0|128.33333333333334|0|3.25|0
0|2020-02-19|0.0|0|0.0|0|77.5|0|6.541666666666667|0
