|dates|Yavapai_Arizona_UnitedStates.BLS_EmployedPopulation.data|Yavapai_Arizona_UnitedStates.BLS_EmployedPopulation.missing|Yavapai_Arizona_UnitedStates.BLS_UnemployedPopulation.data|Yavapai_Arizona_UnitedStates.BLS_UnemployedPopulation.missing|Yavapai_Arizona_UnitedStates.BLS_UnemploymentRate.data|Yavapai_Arizona_UnitedStates.BLS_UnemploymentRate.missing|Yavapai_Arizona_UnitedStates.BLS_LaborForcePopulation.data|Yavapai_Arizona_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-02|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-03|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-04|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-05|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-06|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-07|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-08|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-09|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-10|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-11|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-12|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-13|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-14|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-15|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-16|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-17|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-18|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-19|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-20|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-21|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-22|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-23|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-24|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-25|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-26|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
0|2020-01-27|102362.0|0|4908.0|0|4.575370560268482|0|107270.0|0
