|dates|SantaFe_NewMexico_UnitedStates.BLS_EmployedPopulation.data|SantaFe_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|SantaFe_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|SantaFe_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|SantaFe_NewMexico_UnitedStates.BLS_UnemploymentRate.data|SantaFe_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|SantaFe_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|SantaFe_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-02|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-03|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-04|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-05|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-06|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-07|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-08|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-09|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-10|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-11|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-12|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-13|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-14|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-15|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-16|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-17|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-18|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-19|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-20|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-21|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-22|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-23|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-24|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
0|2020-01-25|72072.0|0|3091.5|0|4.113033586780817|0|75163.5|0
