|dates|Washington_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Washington_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Washington_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Washington_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Washington_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Washington_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Washington_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-02|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-03|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-04|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-05|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-06|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-07|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-08|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-09|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-10|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-11|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-12|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-13|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-14|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-15|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-16|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-17|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-18|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-19|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-20|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-21|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-22|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
0|2020-01-23|5989.5|0|257.5|0|4.121978549703858|0|6247.0|0
