|dates|Portage_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Portage_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Portage_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Portage_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Portage_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Portage_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Portage_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Portage_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-02|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-03|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-04|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-05|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-06|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-07|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-08|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-09|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-10|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-11|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-12|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-13|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-14|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-15|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-16|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-17|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
0|2020-01-18|36346.0|0|1457.0|0|3.8541914662857444|0|37803.0|0
