|dates|Petersburg_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Petersburg_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Petersburg_Alaska_UnitedStates.Male_Total_Population.data|Petersburg_Alaska_UnitedStates.Male_Total_Population.missing|Petersburg_Alaska_UnitedStates.Female_Total_Population.data|Petersburg_Alaska_UnitedStates.Female_Total_Population.missing|Petersburg_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Petersburg_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-02|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-03|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-04|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-05|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-06|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-07|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-08|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-09|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-10|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-11|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-12|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-13|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-14|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-15|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-16|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-17|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-18|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-19|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-20|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-21|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-22|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-23|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-24|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-25|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-26|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-27|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-28|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-29|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-30|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-01-31|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-01|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-02|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-03|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-04|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-05|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-06|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-07|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-08|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-09|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-10|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-11|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-12|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-13|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-14|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-15|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-16|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-17|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-18|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-19|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-20|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-21|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-22|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-23|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-24|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-25|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-26|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-27|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-28|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-02-29|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-03-01|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-03-02|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-03-03|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-03-04|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-03-05|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-03-06|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-03-07|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-03-08|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-03-09|615.0|0|1700.0|0|1521.0|0|670.0|0
0|2020-03-10|615.0|0|1700.0|0|1521.0|0|670.0|0
