|dates|Shelby_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Shelby_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Shelby_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Shelby_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Shelby_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Shelby_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Shelby_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Shelby_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-02|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-03|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-04|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-05|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-06|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-07|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-08|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-09|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-10|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-11|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-12|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-13|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-14|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-15|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-16|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-17|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-18|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-19|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-20|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
0|2020-01-21|24843.5|0|862.5|0|3.3552478020695555|0|25706.0|0
