|dates|Mahoning_Ohio_UnitedStates.BLS_EmployedPopulation.data|Mahoning_Ohio_UnitedStates.BLS_EmployedPopulation.missing|Mahoning_Ohio_UnitedStates.BLS_UnemployedPopulation.data|Mahoning_Ohio_UnitedStates.BLS_UnemployedPopulation.missing|Mahoning_Ohio_UnitedStates.BLS_UnemploymentRate.data|Mahoning_Ohio_UnitedStates.BLS_UnemploymentRate.missing|Mahoning_Ohio_UnitedStates.BLS_LaborForcePopulation.data|Mahoning_Ohio_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-02|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-03|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-04|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-05|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-06|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-07|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-08|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-09|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-10|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-11|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-12|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-13|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-14|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-15|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-16|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-17|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-18|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-19|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-20|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-21|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-22|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-23|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-24|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-25|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-26|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-27|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-28|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-29|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-30|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-01-31|95090.0|0|7134.0|0|6.978791673188292|0|102224.0|0
0|2020-02-01|96267.0|0|6649.5|0|6.46106309483902|0|102916.5|0
