|dates|Worcester_Massachusetts_UnitedStates.BLS_EmployedPopulation.data|Worcester_Massachusetts_UnitedStates.BLS_EmployedPopulation.missing|Worcester_Massachusetts_UnitedStates.BLS_UnemployedPopulation.data|Worcester_Massachusetts_UnitedStates.BLS_UnemployedPopulation.missing|Worcester_Massachusetts_UnitedStates.BLS_UnemploymentRate.data|Worcester_Massachusetts_UnitedStates.BLS_UnemploymentRate.missing|Worcester_Massachusetts_UnitedStates.BLS_LaborForcePopulation.data|Worcester_Massachusetts_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-02|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-03|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-04|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-05|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-06|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-07|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-08|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-09|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-10|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-11|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-12|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-13|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-14|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-15|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-16|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-17|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-18|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-19|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
0|2020-01-20|431810.0|0|16262.0|0|3.6293274295202558|0|448072.0|0
