|dates|Atascosa_Texas_UnitedStates.BLS_EmployedPopulation.data|Atascosa_Texas_UnitedStates.BLS_EmployedPopulation.missing|Atascosa_Texas_UnitedStates.BLS_UnemployedPopulation.data|Atascosa_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Atascosa_Texas_UnitedStates.BLS_UnemploymentRate.data|Atascosa_Texas_UnitedStates.BLS_UnemploymentRate.missing|Atascosa_Texas_UnitedStates.BLS_LaborForcePopulation.data|Atascosa_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-02|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-03|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-04|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-05|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-06|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-07|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-08|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-09|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-10|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-11|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-12|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-13|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-14|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-15|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-16|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-17|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-18|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-19|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-20|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-21|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-22|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-23|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-24|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-25|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-26|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-27|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-28|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-29|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-30|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-01-31|21074.5|0|835.0|0|3.81113215728337|0|21909.5|0
0|2020-02-01|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-02|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-03|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-04|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-05|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-06|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-07|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-08|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-09|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-10|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-11|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-12|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-13|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-14|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-15|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-16|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-17|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-18|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-19|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-20|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-21|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-22|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-23|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-24|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-25|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-26|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-27|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-28|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-02-29|21231.5|0|808.0|0|3.666144876244924|0|22039.5|0
0|2020-03-01|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-02|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-03|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-04|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-05|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-06|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-07|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-08|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-09|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-10|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-11|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-12|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-13|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-14|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-15|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-16|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-17|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-18|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-19|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-20|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-21|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-22|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-23|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-24|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-25|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-26|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-27|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-28|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
0|2020-03-29|20482.0|0|1143.0|0|5.285549132947977|0|21625.0|0
