|dates|Washington_Iowa_UnitedStates.BLS_EmployedPopulation.data|Washington_Iowa_UnitedStates.BLS_EmployedPopulation.missing|Washington_Iowa_UnitedStates.BLS_UnemployedPopulation.data|Washington_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Iowa_UnitedStates.BLS_UnemploymentRate.data|Washington_Iowa_UnitedStates.BLS_UnemploymentRate.missing|Washington_Iowa_UnitedStates.BLS_LaborForcePopulation.data|Washington_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-02|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-03|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-04|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-05|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-06|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-07|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-08|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-09|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-10|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-11|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-12|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-13|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-14|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-15|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-16|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-17|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-18|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-19|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-20|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-21|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-22|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-23|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-24|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
0|2020-01-25|11744.0|0|464.5|0|3.8047262153417702|0|12208.5|0
