|dates|Gila_Arizona_UnitedStates.BLS_EmployedPopulation.data|Gila_Arizona_UnitedStates.BLS_EmployedPopulation.missing|Gila_Arizona_UnitedStates.BLS_UnemployedPopulation.data|Gila_Arizona_UnitedStates.BLS_UnemployedPopulation.missing|Gila_Arizona_UnitedStates.BLS_UnemploymentRate.data|Gila_Arizona_UnitedStates.BLS_UnemploymentRate.missing|Gila_Arizona_UnitedStates.BLS_LaborForcePopulation.data|Gila_Arizona_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-02|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-03|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-04|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-05|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-06|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-07|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-08|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-09|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-10|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-11|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-12|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-13|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-14|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-15|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-16|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-17|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-18|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-19|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-20|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-21|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-22|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-23|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-24|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-25|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-26|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-27|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-28|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-29|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-30|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
0|2020-01-31|20002.0|0|1258.0|0|5.917215428033867|0|21260.0|0
