|dates|Trinity_Texas_UnitedStates.BLS_EmployedPopulation.data|Trinity_Texas_UnitedStates.BLS_EmployedPopulation.missing|Trinity_Texas_UnitedStates.BLS_UnemployedPopulation.data|Trinity_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Trinity_Texas_UnitedStates.BLS_UnemploymentRate.data|Trinity_Texas_UnitedStates.BLS_UnemploymentRate.missing|Trinity_Texas_UnitedStates.BLS_LaborForcePopulation.data|Trinity_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-02|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-03|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-04|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-05|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-06|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-07|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-08|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-09|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-10|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-11|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-12|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-13|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-14|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-15|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-16|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-17|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-18|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
0|2020-01-19|5019.5|0|301.0|0|5.657363029790433|0|5320.5|0
