|dates|Benzie_Michigan_UnitedStates.BLS_EmployedPopulation.data|Benzie_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Benzie_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Benzie_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Benzie_Michigan_UnitedStates.BLS_UnemploymentRate.data|Benzie_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Benzie_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Benzie_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-02|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-03|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-04|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-05|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-06|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-07|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-08|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-09|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-10|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-11|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-12|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-13|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-14|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-15|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-16|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-17|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-18|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-19|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-20|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-21|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-22|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-23|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-24|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-25|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-26|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-27|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-28|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-29|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-30|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-01-31|8104.5|0|584.5|0|6.726896075497756|0|8689.0|0
0|2020-02-01|8196.5|0|518.0|0|5.9441161282919275|0|8714.5|0
0|2020-02-02|8196.5|0|518.0|0|5.9441161282919275|0|8714.5|0
0|2020-02-03|8196.5|0|518.0|0|5.9441161282919275|0|8714.5|0
0|2020-02-04|8196.5|0|518.0|0|5.9441161282919275|0|8714.5|0
0|2020-02-05|8196.5|0|518.0|0|5.9441161282919275|0|8714.5|0
0|2020-02-06|8196.5|0|518.0|0|5.9441161282919275|0|8714.5|0
0|2020-02-07|8196.5|0|518.0|0|5.9441161282919275|0|8714.5|0
0|2020-02-08|8196.5|0|518.0|0|5.9441161282919275|0|8714.5|0
