|dates|Fulton_NewYork_UnitedStates.BLS_EmployedPopulation.data|Fulton_NewYork_UnitedStates.BLS_EmployedPopulation.missing|Fulton_NewYork_UnitedStates.BLS_UnemployedPopulation.data|Fulton_NewYork_UnitedStates.BLS_UnemployedPopulation.missing|Fulton_NewYork_UnitedStates.BLS_UnemploymentRate.data|Fulton_NewYork_UnitedStates.BLS_UnemploymentRate.missing|Fulton_NewYork_UnitedStates.BLS_LaborForcePopulation.data|Fulton_NewYork_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-02|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-03|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-04|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-05|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-06|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-07|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-08|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-09|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-10|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-11|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-12|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-13|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-14|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-15|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-16|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-17|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-18|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-19|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-20|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-21|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-22|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-23|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-24|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-25|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-26|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-27|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-28|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-29|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
0|2020-01-30|21540.0|0|1317.0|0|5.761911011943825|0|22857.0|0
