|dates|Spartanburg_SouthCarolina_UnitedStates.AveragePrecipitationTotal.data|Spartanburg_SouthCarolina_UnitedStates.AveragePrecipitationTotal.missing|Spartanburg_SouthCarolina_UnitedStates.AveragePrecipitation.data|Spartanburg_SouthCarolina_UnitedStates.AveragePrecipitation.missing|Spartanburg_SouthCarolina_UnitedStates.AverageWindDirection.data|Spartanburg_SouthCarolina_UnitedStates.AverageWindDirection.missing|Spartanburg_SouthCarolina_UnitedStates.AverageWindSpeed.data|Spartanburg_SouthCarolina_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|193.02083333333334|0|4.03125|0
0|2020-01-02|0.0|0|0.017291666666666674|0|161.35416666666666|0|3.0833333333333335|0
0|2020-01-03|0.0|0|0.02677083333333331|0|58.541666666666664|0|1.0208333333333333|0
0|2020-01-04|0.0|0|0.0028124999999999995|0|224.27083333333334|0|8.677083333333334|0
0|2020-01-05|0.0|0|0.0|0|183.64583333333334|0|4.916666666666667|0
0|2020-01-06|0.0|0|0.0|0|176.71875|0|4.510416666666667|0
0|2020-01-07|0.0|0|0.0027083333333333334|0|143.54166666666666|0|4.09375|0
0|2020-01-08|0.0|0|0.0|0|102.08333333333333|0|2.8020833333333335|0
0|2020-01-09|0.0|0|0.0|0|53.333333333333336|0|2.2395833333333335|0
0|2020-01-10|0.0|0|0.00020833333333333335|0|29.270833333333332|0|2.28125|0
0|2020-01-11|0.0|0|0.02010416666666667|0|126.77083333333333|0|5.15625|0
0|2020-01-12|0.0|0|0.00010416666666666667|0|154.58333333333334|0|5.0625|0
0|2020-01-13|0.0|0|0.01781250000000001|0|80.20833333333333|0|1.2395833333333333|0
0|2020-01-14|0.0|0|0.013333333333333336|0|142.13541666666666|0|2.9635416666666665|0
0|2020-01-15|0.0|0|0.0|0|53.125|0|1.0520833333333333|0
0|2020-01-16|0.0|0|0.0|0|278.90625|0|8.25|0
0|2020-01-17|0.0|0|0.0|0|82.08333333333333|0|4.260416666666667|0
0|2020-01-18|0.0|0|0.006354166666666668|0|30.208333333333332|0|0.5104166666666666|0
0|2020-01-19|0.0|0|0.00010416666666666667|0|275.8854166666667|0|7.317708333333333|0
0|2020-01-20|0.0|0|0.0|0|154.375|0|5.375|0
0|2020-01-21|0.0|0|0.0|0|58.541666666666664|0|7.958333333333333|0
0|2020-01-22|0.0|0|0.0|0|38.125|0|5.432291666666667|0
0|2020-01-23|0.0|0|0.0|0|35.416666666666664|0|5.744791666666667|0
0|2020-01-24|0.0|0|0.025208333333333315|0|44.270833333333336|0|4.6875|0
0|2020-01-25|0.0|0|0.0|0|206.25|0|3.6145833333333335|0
0|2020-01-26|0.0|0|0.0|0|74.375|0|1.5104166666666667|0
0|2020-01-27|0.0|0|0.0023958333333333336|0|162.23958333333334|0|3.6927083333333335|0
0|2020-01-28|0.0|0|0.0|0|132.60416666666666|0|2.9583333333333335|0
0|2020-01-29|0.0|0|0.0|0|21.979166666666668|0|1.9479166666666667|0
0|2020-01-30|0.0|0|0.0|0|18.958333333333332|0|1.8020833333333333|0
0|2020-01-31|0.0|0|0.012187500000000004|0|29.479166666666668|0|4.135416666666667|0
0|2020-02-01|0.0|0|0.0|0|132.29166666666666|0|3.4270833333333335|0
