|dates|Dauphin_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Dauphin_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Dauphin_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Dauphin_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Dauphin_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Dauphin_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Dauphin_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Dauphin_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-02|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-03|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-04|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-05|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-06|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-07|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-08|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-09|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-10|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-11|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-12|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-13|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-14|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-15|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-16|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-17|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-18|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-19|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-20|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-21|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
0|2020-01-22|138793.0|0|6425.5|0|4.424711727500284|0|145218.5|0
