|dates|Butler_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Butler_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Butler_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Butler_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Butler_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Butler_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Butler_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Butler_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-02|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-03|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-04|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-05|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-06|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-07|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-08|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-09|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-10|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-11|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-12|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-13|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-14|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-15|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-16|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-17|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-18|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-19|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-20|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-21|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-22|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-23|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-24|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-25|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
0|2020-01-26|4457.0|0|121.5|0|2.6537075461395654|0|4578.5|0
