|dates|Spencer_Indiana_UnitedStates.BLS_EmployedPopulation.data|Spencer_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Spencer_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Spencer_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Spencer_Indiana_UnitedStates.BLS_UnemploymentRate.data|Spencer_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Spencer_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Spencer_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-02|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-03|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-04|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-05|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-06|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-07|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-08|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-09|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-10|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-11|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-12|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-13|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-14|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-15|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-16|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-17|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-18|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-19|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-20|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-21|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-22|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-23|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-24|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-25|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-26|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-27|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-28|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-29|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-30|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-01-31|9810.0|0|393.5|0|3.856519821629833|0|10203.5|0
0|2020-02-01|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-02|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-03|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-04|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-05|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-06|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-07|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-08|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-09|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-10|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-11|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-12|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-13|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-14|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-15|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-16|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-17|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-18|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-19|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-20|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-21|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-22|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-23|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-24|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-25|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-26|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-27|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-28|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-02-29|9820.5|0|414.0|0|4.045141433387073|0|10234.5|0
0|2020-03-01|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-02|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-03|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-04|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-05|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-06|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-07|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-08|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-09|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-10|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-11|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-12|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-13|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-14|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-15|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-16|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-17|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-18|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-19|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-20|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-21|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-22|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-23|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-24|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-25|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-26|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-27|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-28|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-29|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-30|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-03-31|9758.0|0|345.0|0|3.414827279026032|0|10103.0|0
0|2020-04-01|8748.5|0|1301.0|0|12.945917707348624|0|10049.5|0
0|2020-04-02|8748.5|0|1301.0|0|12.945917707348624|0|10049.5|0
0|2020-04-03|8748.5|0|1301.0|0|12.945917707348624|0|10049.5|0
0|2020-04-04|8748.5|0|1301.0|0|12.945917707348624|0|10049.5|0
0|2020-04-05|8748.5|0|1301.0|0|12.945917707348624|0|10049.5|0
0|2020-04-06|8748.5|0|1301.0|0|12.945917707348624|0|10049.5|0
0|2020-04-07|8748.5|0|1301.0|0|12.945917707348624|0|10049.5|0
0|2020-04-08|8748.5|0|1301.0|0|12.945917707348624|0|10049.5|0
