|dates|Letcher_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Letcher_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Letcher_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Letcher_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Letcher_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Letcher_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Letcher_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Letcher_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-02|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-03|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-04|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-05|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-06|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-07|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-08|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-09|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-10|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-11|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-12|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-13|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-14|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-15|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-16|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-17|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-18|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-19|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-20|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-21|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-22|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-23|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-24|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-25|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-26|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-27|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-28|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-29|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-30|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-01-31|5809.0|0|587.0|0|9.1776110068793|0|6396.0|0
0|2020-02-01|5829.5|0|580.5|0|9.05616224648986|0|6410.0|0
