|dates|Sampson_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Sampson_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Sampson_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Sampson_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Sampson_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Sampson_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Sampson_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Sampson_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-02|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-03|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-04|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-05|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-06|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-07|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-08|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-09|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-10|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-11|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-12|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-13|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-14|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-15|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-16|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
0|2020-01-17|28850.5|0|1166.5|0|3.8861311923243496|0|30017.0|0
