|dates|Pike_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Pike_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Pike_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Pike_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Pike_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Pike_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Pike_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Pike_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-02|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-03|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-04|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-05|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-06|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-07|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-08|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-09|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-10|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-11|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-12|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-13|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-14|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-15|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-16|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-17|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-18|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-19|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-20|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
0|2020-01-21|18589.0|0|1449.0|0|7.2312606048507835|0|20038.0|0
