|dates|Marshall_Indiana_UnitedStates.BLS_EmployedPopulation.data|Marshall_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Marshall_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Marshall_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Marshall_Indiana_UnitedStates.BLS_UnemploymentRate.data|Marshall_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Marshall_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Marshall_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-02|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-03|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-04|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-05|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-06|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-07|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-08|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-09|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-10|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-11|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-12|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-13|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-14|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-15|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-16|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-17|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-18|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-19|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-20|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-21|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-22|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-23|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-24|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-25|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-26|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-27|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-28|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-29|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-30|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-01-31|22035.0|0|796.0|0|3.4864876702728744|0|22831.0|0
0|2020-02-01|22020.0|0|751.5|0|3.300177853896318|0|22771.5|0
0|2020-02-02|22020.0|0|751.5|0|3.300177853896318|0|22771.5|0
0|2020-02-03|22020.0|0|751.5|0|3.300177853896318|0|22771.5|0
0|2020-02-04|22020.0|0|751.5|0|3.300177853896318|0|22771.5|0
