|dates|Torrance_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Torrance_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Torrance_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Torrance_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Torrance_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Torrance_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Torrance_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Torrance_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-02|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-03|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-04|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-05|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-06|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-07|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-08|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-09|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-10|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-11|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-12|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-13|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-14|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-15|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-16|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-17|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-18|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-19|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-20|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-21|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-22|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-23|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-24|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-25|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-26|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-27|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-28|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-29|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-30|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-01-31|5029.0|0|390.5|0|7.205461758464803|0|5419.5|0
0|2020-02-01|5056.0|0|383.5|0|7.050280356650427|0|5439.5|0
0|2020-02-02|5056.0|0|383.5|0|7.050280356650427|0|5439.5|0
0|2020-02-03|5056.0|0|383.5|0|7.050280356650427|0|5439.5|0
0|2020-02-04|5056.0|0|383.5|0|7.050280356650427|0|5439.5|0
0|2020-02-05|5056.0|0|383.5|0|7.050280356650427|0|5439.5|0
0|2020-02-06|5056.0|0|383.5|0|7.050280356650427|0|5439.5|0
0|2020-02-07|5056.0|0|383.5|0|7.050280356650427|0|5439.5|0
