|dates|Mineral_Montana_UnitedStates.BLS_EmployedPopulation.data|Mineral_Montana_UnitedStates.BLS_EmployedPopulation.missing|Mineral_Montana_UnitedStates.BLS_UnemployedPopulation.data|Mineral_Montana_UnitedStates.BLS_UnemployedPopulation.missing|Mineral_Montana_UnitedStates.BLS_UnemploymentRate.data|Mineral_Montana_UnitedStates.BLS_UnemploymentRate.missing|Mineral_Montana_UnitedStates.BLS_LaborForcePopulation.data|Mineral_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-02|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-03|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-04|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-05|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-06|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-07|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-08|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-09|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-10|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-11|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-12|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-13|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-14|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-15|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-16|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-17|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-18|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-19|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-20|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-21|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-22|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-23|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-24|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-25|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-26|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-27|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-28|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-29|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-30|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-01-31|1574.5|0|199.0|0|11.220749929517902|0|1773.5|0
0|2020-02-01|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-02|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-03|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-04|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-05|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-06|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-07|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-08|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-09|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-10|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-11|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-12|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-13|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-14|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-15|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-16|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
0|2020-02-17|1573.5|0|185.0|0|10.520329826556724|0|1758.5|0
