|dates|Brewster_Texas_UnitedStates.BLS_EmployedPopulation.data|Brewster_Texas_UnitedStates.BLS_EmployedPopulation.missing|Brewster_Texas_UnitedStates.BLS_UnemployedPopulation.data|Brewster_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Brewster_Texas_UnitedStates.BLS_UnemploymentRate.data|Brewster_Texas_UnitedStates.BLS_UnemploymentRate.missing|Brewster_Texas_UnitedStates.BLS_LaborForcePopulation.data|Brewster_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-02|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-03|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-04|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-05|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-06|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-07|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-08|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-09|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-10|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-11|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-12|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-13|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-14|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-15|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-16|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-17|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-18|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-19|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-20|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-21|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-22|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-23|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-24|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-25|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-26|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-27|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-28|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-29|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-30|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-01-31|4083.5|0|116.5|0|2.7738095238095237|0|4200.0|0
0|2020-02-01|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
0|2020-02-02|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
0|2020-02-03|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
0|2020-02-04|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
0|2020-02-05|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
0|2020-02-06|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
0|2020-02-07|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
0|2020-02-08|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
0|2020-02-09|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
0|2020-02-10|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
0|2020-02-11|4120.0|0|122.0|0|2.876001885902876|0|4242.0|0
