|dates|Latah_Idaho_UnitedStates.BLS_EmployedPopulation.data|Latah_Idaho_UnitedStates.BLS_EmployedPopulation.missing|Latah_Idaho_UnitedStates.BLS_UnemployedPopulation.data|Latah_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|Latah_Idaho_UnitedStates.BLS_UnemploymentRate.data|Latah_Idaho_UnitedStates.BLS_UnemploymentRate.missing|Latah_Idaho_UnitedStates.BLS_LaborForcePopulation.data|Latah_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-02|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-03|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-04|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-05|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-06|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-07|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-08|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-09|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-10|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-11|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-12|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-13|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-14|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-15|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-16|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-17|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-18|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
0|2020-01-19|20157.0|0|576.5|0|2.7805242723129235|0|20733.5|0
