|dates|Henry_Indiana_UnitedStates.BLS_EmployedPopulation.data|Henry_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Henry_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Henry_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Henry_Indiana_UnitedStates.BLS_UnemploymentRate.data|Henry_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Henry_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Henry_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-03-04|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-05|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-06|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-07|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-08|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-09|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-10|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-11|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-12|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-13|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-14|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-15|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-16|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-17|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-18|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-19|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-20|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-21|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-22|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-23|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-24|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-25|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
