|dates|LaSalle_Illinois_UnitedStates.BLS_EmployedPopulation.data|LaSalle_Illinois_UnitedStates.BLS_EmployedPopulation.missing|LaSalle_Illinois_UnitedStates.BLS_UnemployedPopulation.data|LaSalle_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|LaSalle_Illinois_UnitedStates.BLS_UnemploymentRate.data|LaSalle_Illinois_UnitedStates.BLS_UnemploymentRate.missing|LaSalle_Illinois_UnitedStates.BLS_LaborForcePopulation.data|LaSalle_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-02|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-03|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-04|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-05|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-06|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-07|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-08|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-09|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-10|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-11|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-12|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-13|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-14|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-15|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-16|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-17|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-18|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-19|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-20|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-21|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-22|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-23|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-24|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-25|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-26|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-27|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-28|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-29|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-30|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-01-31|51260.5|0|3110.0|0|5.720013610321773|0|54370.5|0
0|2020-02-01|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-02|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-03|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-04|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-05|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-06|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-07|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-08|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-09|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-10|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-11|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-12|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-13|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-14|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-15|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-16|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
0|2020-02-17|50585.5|0|2598.0|0|4.884973723053203|0|53183.5|0
